tmdb_id,title,release_date,budget,runtime,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,is_sequel,director_name,director_popularity,lead_actor_name,lead_actor_popularity,genres,production_studios,mpaa_rating,release_month,is_holiday_release
49527,Man on a Ledge,2012-01-13,42000000,102,4.7417,2724,6.429,0,Asger Leth,0.7537,Sam Worthington,4.0107,Action|Thriller|Crime,Summit Entertainment|di Bonaventura Pictures,PG-13,1,0
72976,Lincoln,2012-11-09,65000000,149,4.6688,3939,6.855,0,Steven Spielberg,3.854,Daniel Day-Lewis,1.5748,History|Drama,DreamWorks Pictures|Reliance Entertainment|Participant|Amblin Entertainment|The Kennedy/Marshall Company|Dune Entertainment,PG-13,11,1
122924,One in the Chamber,2012-08-21,6000000,91,4.0901,164,5.5,0,William Kaufman,0.6686,Dolph Lundgren,4.9853,Action|Thriller,Motion Picture Corporation of America|Mediapro Studios|Throttle Films,R,8,0
115084,Piranhaconda,2012-06-16,1000000,90,5.0883,166,4.9,0,Jim Wynorski,0.9807,Michael Madsen,2.3352,Horror|Science Fiction|Comedy,New Horizons Picture,NR,6,0
68734,Argo,2012-10-11,44500000,120,5.1056,8675,7.282,0,Ben Affleck,10.0095,Ben Affleck,10.0095,Drama|Thriller,GK Films|Warner Bros. Pictures|Smokehouse Pictures,R,10,0
109513,Hit & Run,2012-08-22,2000000,100,4.1995,562,5.714,0,David Palmer,0.2846,Dax Shepard,3.7748,Action|Comedy|Romance,Primate Pictures|Kim and Jim Productions|Panay Films|Exclusive Media,R,8,0
77875,Playing for Keeps,2012-11-29,35000000,106,4.7848,709,5.7,0,Gabriele Muccino,0.8758,Gerard Butler,8.5815,Comedy|Romance,Evil Twins|Millennium Media|G-BASE|Eclectic Pictures|Nu Image|Misher Films,PG-13,11,1
60540,Sushi Girl,2012-12-07,2000000,98,4.4629,114,5.443,0,Kern Saxton,0.0614,Danny Trejo,3.2121,Thriller|Crime,Level Up Productions|Assembly Line|Stray Angel Films|ToMmY K. PICTURES,R,12,1
93837,So Undercover,2012-12-06,15000000,94,4.2845,1136,6.1,0,Tom Vaughan,0.2562,Miley Cyrus,1.8464,Action|Comedy,Kappa Undercover Pictures|Exclusive Media|Crystal City Entertainment|Scarlet Fire Entertainment|HopeTown Entertainment|Millennium Entertainment,PG-13,12,1
78461,Beneath the Darkness,2012-01-06,7300000,96,4.5654,152,4.7,0,Martin Guigui,0.4134,Dennis Quaid,3.3957,Thriller|Horror|Drama,Raincreek Productions|Sunset Pictures,R,1,0
79940,Tim and Eric's Billion Dollar Movie,2012-03-02,3000000,94,3.8148,133,5.5,0,Eric Wareheim,0.2746,Tim Heidecker,1.008,Comedy,Funny or Die|2929 Productions|Gary Sanchez Productions|Abso Lutely Productions,R,3,0
139455,Silent Night,2012-11-30,5000000,94,4.1221,315,5.2,0,Steven C. Miller,0.2152,Malcolm McDowell,2.9321,Comedy|Horror|Thriller|Mystery,Buffalo Gal Pictures|Ember Productions|The Genre Co.,R,11,1
84174,Bachelorette,2012-01-23,3000000,87,3.4747,1229,5.4,0,Leslye Headland,0.9402,Kirsten Dunst,6.0727,Comedy|Romance,Gary Sanchez Productions|BCDF Pictures,R,1,0
111839,Hemingway & Gellhorn,2012-08-27,19500000,155,4.2642,187,6.1,0,Philip Kaufman,0.8819,Nicole Kidman,8.5751,Drama|Romance,HBO|Attaboy Films|For Whom Productions,NR,8,0
64689,Killing Them Softly,2012-07-30,15000000,97,4.134,2308,6.0,0,Andrew Dominik,0.8538,Brad Pitt,9.031,Crime|Thriller,Plan B Entertainment|Chockstone Pictures|1984 Private Defense Contractors|Annapurna Pictures|Inferno Entertainment,R,7,0
84199,The First Time,2012-10-19,2000000,95,3.7006,2136,6.99,0,Jon Kasdan,0.3404,Dylan O'Brien,6.1271,Drama|Comedy|Romance,Destination Films|Samuel Goldwyn Films,PG-13,10,0
77883,The Possession,2012-08-30,14000000,92,4.3132,1666,6.033,0,Ole Bornedal,0.3205,Jeffrey Dean Morgan,6.9416,Horror|Thriller,Ghost House Pictures|North Box Productions|Lionsgate,PG-13,8,0
84175,Beasts of the Southern Wild,2012-06-29,1800000,93,4.0574,1108,6.8,0,Benh Zeitlin,0.2182,Quvenzhané Wallis,0.7103,Drama|Fantasy,Cinereach|Court 13 Pictures|Journeyman Pictures|Seville International,PG-13,6,0
72331,Abraham Lincoln: Vampire Hunter,2012-06-20,69000000,105,4.1242,3459,5.763,0,Timur Bekmambetov,0.8659,Benjamin Walker,0.8767,Action|Fantasy|Horror,Bazelevs|Tim Burton Productions|Abraham Productions|Location Gourmet|20th Century Fox|Dune Entertainment,R,6,0
67660,Think Like a Man,2012-04-20,12000000,122,4.5226,871,6.8,1,Tim Story,1.0149,Michael Ealy,1.5146,Comedy|Romance,Rainforest Entertainment,PG-13,4,0
87502,Flight,2012-02-22,31000000,138,4.5493,6272,6.852,0,Robert Zemeckis,1.7739,Denzel Washington,6.0583,Drama,Paramount Pictures|ImageMovers|Parkes+MacDonald Image Nation,R,2,0
84188,Compliance,2012-08-23,270000,90,4.1645,746,6.357,0,Craig Zobel,0.3323,Ann Dowd,1.5926,Drama|Thriller,Bad Cop / Bad Cop|Dogfish Pictures|Muskat Filmed Properties|Low Spark Films,R,8,0
126323,Mine Games,2012-12-01,1500000,88,4.2956,117,5.534,0,Richard Gray,0.1874,Alex Meraz,1.1103,Thriller|Horror,Zero Gravity Management|Vitamin A Films|Yellow Brick Films|Bo-Town Films|Emerald Peak Entertainment,NR,12,1
107257,A Perfect Ending,2012-06-01,175000,110,3.8186,131,6.191,0,Nicole Conn,0.217,Barbara Niven,1.2478,Drama|Romance,Soul Kiss Films,NR,6,0
122800,Freelancers,2012-08-10,11000000,96,3.9748,246,5.055,0,Jessy Terrero,0.2085,50 Cent,1.8257,Mystery|Drama|Action|Crime,Grindstone Entertainment Group|Cheetah Vision|Paradox Entertainment|Envision Entertainment|Emmett/Furla Films,R,8,0
74534,The Best Exotic Marigold Hotel,2012-02-23,10000000,124,4.0118,1411,7.0,1,John Madden,0.5875,Bill Nighy,3.1957,Drama|Comedy,Participant|Image Nation Abu Dhabi|Blueprint Pictures,PG-13,2,0
158150,How to Fall in Love,2012-07-21,4000000,84,4.0213,76,5.993,0,Mark Griffiths,0.3054,Brooke D'Orsay,1.5117,Comedy|Romance|TV Movie,Annuit Coeptis Entertainment Inc.|Annuit Coeptis Entertainment II|Johnson Production Group|De Caigny Enterprises|Hallmark Media,NR,7,0
82390,The Paperboy,2012-09-14,12500000,107,4.369,786,5.5,0,Lee Daniels,0.3974,Zac Efron,7.3795,Thriller|Drama|Mystery,Lee Daniels Entertainment|Nu Image|Millennium Media,R,9,0
75174,The Grey,2012-01-26,25000000,117,4.1789,3990,6.573,0,Joe Carnahan,0.538,Liam Neeson,7.5562,Action|Adventure|Drama|Thriller,Open Road Films|Scott Free Productions|1984 Private Defense Contractors|Inferno Distribution|Chambara Pictures|LD Entertainment,R,1,0
82532,"Jeff, Who Lives at Home",2012-03-16,10000000,83,3.8466,668,6.229,0,Mark Duplass,1.6683,Jason Segel,1.1144,Drama|Comedy,Indian Paintbrush|Paramount Vantage|Right of Way Films|Duplass Brothers Productions|Mr. Mudd,R,3,0
97630,Zero Dark Thirty,2012-12-19,40000000,157,3.7566,4730,6.992,0,Kathryn Bigelow,1.148,Jessica Chastain,5.6098,Thriller|Drama,Annapurna Pictures|First Light|Mark Boal Productions,R,12,1
72570,The Vow,2012-02-05,30000000,104,3.8883,4166,7.235,0,Michael Sucsy,0.3304,Rachel McAdams,5.1567,Drama|Romance,Spyglass Entertainment|Screen Gems|Birnbaum/Barber Productions,PG-13,2,0
83770,On the Road,2012-05-22,25000000,142,4.3292,876,5.6,0,Walter Salles,0.6745,Garrett Hedlund,2.7938,Adventure|Drama,MK2 Films|Film4 Productions|France 2 Cinéma|VideoFilmes|American Zoetrope,R,5,0
118683,Maximum Conviction,2012-10-25,8000000,97,3.939,139,4.971,0,Keoni Waxman,0.3217,Steven Seagal,3.1614,Action|Adventure|Thriller,Steamroller Productions|Voltage Pictures|Splendid Film,R,10,0
84575,Tooth Fairy 2,2012-03-06,5000000,90,4.0044,173,4.9,1,Alex Zamm,0.5415,Larry the Cable Guy,0.4838,Comedy|Family,20th Century Fox Home Entertainment|Walden Media|Parallel Entertainment Pictures,PG,3,0
93676,Someday This Pain Will Be Useful to You,2012-02-24,8000000,99,4.0837,125,5.508,0,Roberto Faenza,0.4478,Toby Regbo,1.1219,Drama|Comedy,BNL – Gruppo BNP Paribas|Jean Vigo Italia|Four of a Kind Productions|The 7th Floor|MiC|RAI Cinema,NR,2,0
76487,The Devil Inside,2012-01-06,1000000,83,3.8864,820,4.7,0,William Brent Bell,0.4031,Fernanda Andrade,0.6011,Horror|Thriller,Room 101|Prototype,R,1,0
62214,Frankenweenie,2012-10-04,39000000,87,3.777,3516,6.999,0,Tim Burton,2.9308,Catherine O'Hara,2.1857,Animation|Comedy|Family,Tim Burton Productions,PG,10,0
100493,The Devil's Carnival,2012-04-05,500000,55,3.6507,91,5.4,1,Darren Lynn Bousman,0.9837,Sean Patrick Flanery,1.3983,Horror|Music,Execution Style Entertainment,NR,4,0
139715,Detention of the Dead,2012-04-27,500000,87,3.7827,97,4.732,0,Alex Craig Mann,0.1651,Alexa Nikolas,0.5502,Comedy|Horror,Gala Films,R,4,0
88005,Seeking a Friend for the End of the World,2012-06-22,10000000,101,3.8714,2185,6.566,0,Lorene Scafaria,0.6011,Steve Carell,4.2116,Comedy|Drama|Romance|Adventure,Indian Paintbrush|Mandate Pictures|Focus Features|Anonymous Content|Mandate International,R,6,0
84332,Safety Not Guaranteed,2012-06-08,750000,86,3.9328,1547,6.774,0,Colin Trevorrow,1.0545,Aubrey Plaza,4.0469,Comedy|Romance|Science Fiction,Duplass Brothers Productions|Big Beach,R,6,0
134371,Atlas Shrugged: Part II,2012-10-12,10000000,112,3.5607,140,5.268,1,John Putch,0.3507,Samantha Mathis,1.9341,Drama|Science Fiction|Mystery,Atlas Distribution Company,PG-13,10,0
50647,Wanderlust,2012-02-23,35000000,98,3.6805,1295,5.495,0,David Wain,0.4788,Jennifer Aniston,5.0543,Comedy|Romance,Relativity Media|A Hot Dog|Apatow Productions|Universal Pictures,R,2,0
92591,Bernie,2012-04-27,5000000,99,4.7086,991,6.58,0,Richard Linklater,1.5973,Jack Black,5.4901,Comedy|Crime|Drama,Mandalay Vision|Detour Filmproduction|Wind Dancer Films|Millennium Media,PG-13,4,0
82618,Girl in Progress,2012-05-11,5000000,93,3.3851,121,5.6,0,Patricia Riggen,0.338,Eva Mendes,3.3652,Comedy|Drama,Pantelion Films,PG-13,5,0
83666,Moonrise Kingdom,2012-05-16,16000000,94,3.0601,6137,7.674,0,Wes Anderson,2.2128,Jared Gilman,0.625,Comedy|Drama|Romance,Indian Paintbrush|American Empirical Pictures,PG-13,5,0
128564,Attack of the 50 Foot Cheerleader,2012-08-25,1000000,83,3.8343,64,5.4,0,Kevin O'Neill,0.1069,Jena Sims,0.4305,Comedy|Science Fiction,New Horizons Picture|Epix,R,8,0
62008,Good Deeds,2012-02-23,14000000,129,4.2288,133,6.2,0,Tyler Perry,2.1061,Tyler Perry,2.1061,Drama|Romance,Tyler Perry Studios|Lionsgate,PG-13,2,0
86467,Bel Ami,2012-03-09,9000000,102,3.9036,533,5.269,0,Nick Ormerod,0.0538,Robert Pattinson,5.3095,Romance|Drama,19 Entertainment|Redwave Films|Protagonist Pictures|RAI,R,3,0
84165,2 Days in New York,2012-03-28,8000000,91,3.5782,299,5.6,1,Julie Delpy,1.8237,Julie Delpy,1.8237,Comedy|Drama|Romance,Tempête Sous Un Crâne Productions|Senator Film|Alvy Productions|Protozoa Pictures,R,3,0
95754,Big Time Movie,2012-03-10,3004000,68,3.2193,175,7.5,0,Savage Steve Holland,0.3609,Kendall Schmidt,0.7358,Comedy|TV Movie|Music|Mystery,Pacific Bay Entertainment|Nickelodeon Productions,NR,3,0
126509,2016: Obama's America,2012-07-13,2500000,88,3.3381,54,4.0,0,Dinesh D'Souza,1.167,Dinesh D'Souza,1.167,Documentary,,PG,7,0
92000,Columbus Circle,2012-03-05,10000000,82,3.6944,241,5.772,0,George Gallo,0.5377,Selma Blair,1.7579,Crime|Drama|Mystery|Thriller,G4 Pictures|Oxymoron Entertainment|Blue Star Pictures,PG-13,3,0
120478,The Haunting of Whaley House,2012-07-31,115000,90,3.5526,58,4.4,0,Jose Prendes,0.8698,Stephanie Greco,0.0693,Horror,The Asylum,NR,7,0
72358,A Thousand Words,2012-03-07,40000000,91,3.4054,1367,6.1,0,Brian Robbins,0.6228,Eddie Murphy,4.9959,Drama|Comedy|Fantasy,Paramount Pictures|Saturn Films|Varsity Pictures|DreamWorks Pictures,PG-13,3,0
58244,Upside Down,2012-09-27,60000000,104,4.1312,2555,6.278,0,Juan Diego Solanas,0.1291,Kirsten Dunst,6.0727,Romance|Science Fiction|Drama|Fantasy,Upside Down Films|Les Films Upside Down|Onyx Films|Transfilm|Studio 37|Kinologic Films|Jouror Productions|France 2 Cinéma|Canal+|Ciné+|France Télévisions|Kinology|Warner Bros. Pictures,PG-13,9,0
60599,Arbitrage,2012-09-14,12000000,100,3.7183,899,6.315,0,Nicholas Jarecki,0.294,Richard Gere,4.7385,Drama|Thriller,Lucky Monkey Pictures|Parlay Films|LB Productions|Artina Films|Alvernia Studios,R,9,0
84348,V/H/S,2012-07-28,242000,116,3.2403,1652,6.1,1,Matt Bettinelli-Olpin,0.9502,Calvin Lee Reeder,0.2895,Thriller|Horror,The Collective|8383 Productions|Bloody Disgusting,R,7,0
63574,Joyful Noise,2012-01-13,25000000,117,3.3389,162,6.4,0,Todd Graff,0.7939,Queen Latifah,2.0233,Comedy|Music,O.N.C. Entertainment|Alcon Entertainment|Farrell Paura Productions|Gospel Truth Pictures,PG-13,1,0
62764,Mirror Mirror,2012-03-15,85000000,106,3.1092,3233,5.9,0,Tarsem Singh,1.0854,Lily Collins,3.2369,Adventure|Comedy|Family|Fantasy,Misher Films|Relativity Media|Yucaipa Films|Goldmann Pictures|RAT Entertainment|Misha Films,PG,3,0
82990,Paranormal Activity 4,2012-10-17,5000000,87,3.1898,1974,5.4,1,Henry Joost,0.3802,Katie Featherston,0.6264,Horror,Room 101|Paramount Pictures|Blumhouse Productions|Solana Films,R,10,0
122930,Breathless,2012-01-04,5000000,91,3.4215,53,5.868,0,Jesse Baget,0.1048,Gina Gershon,4.1845,Comedy|Thriller|Mystery|Crime,Voltage Pictures,R,1,0
133463,Redd Inc.,2012-11-03,500000,93,3.6294,85,5.412,0,Daniel Krige,0.1426,Nicholas Hope,0.4243,Thriller|Horror|Comedy,Green Light Productions,R,11,1
98369,Blue Like Jazz,2012-04-13,1250000,106,3.5696,57,5.5,0,Steve Taylor,0.0512,Marshall Allman,1.5806,Drama|Comedy,Ruckus Films,PG-13,4,0
128311,Under the Bed,2012-07-19,1000000,87,4.0118,93,5.0,0,Steven C. Miller,0.2152,Jonny Weston,0.7738,Horror,Site B|Through The Heart,R,7,0
84200,"For a Good Time, Call...",2012-08-31,850000,87,3.3886,314,5.887,0,Jamie Travis,0.1216,Ari Graynor,1.3101,Comedy|Drama,AdScott Pictures,R,8,0
75674,Act of Valor,2012-02-24,12000000,110,3.3303,1193,6.531,0,Mike McCoy,0.0848,Roselyn Sánchez,4.6521,Action|Thriller|War,Bandito Brothers,R,2,0
86597,The Tall Man,2012-03-19,18200000,106,3.0562,1194,6.0,0,Pascal Laugier,0.5826,Jessica Biel,6.8896,Horror|Mystery|Thriller,Forecast Pictures|Iron Ocean|Radar Films|SND|Highwire Pictures,R,3,0
98948,Abraham Lincoln vs. Zombies,2012-05-29,150000,90,2.9457,134,3.8,0,Richard Schenkman,0.7427,Bill Oberst Jr.,0.2589,Horror|Action|Thriller,The Asylum,R,5,0
